uid	lat	lng	datetime
19	40.724494	-73.993347	2012-04-12 22:58:44
19	40.726805999999996	-73.982776	2012-04-21 21:22:12
19	40.726377	-73.98410799999998	2012-04-22 12:09:31
19	40.764113	-73.971183	2012-04-22 14:28:55
19	40.734167	-73.990487	2012-04-22 15:38:59
19	40.724635	-73.998402	2012-04-23 21:34:29
19	40.741198	-74.002392	2012-04-25 18:39:23
19	40.72511	-73.981301	2012-04-25 21:43:32
19	40.725325	-73.984125	2012-04-25 22:37:47
19	40.723566	-73.998122	2012-04-27 13:22:29
19	40.750795000000004	-73.993576	2012-04-27 18:44:56
19	40.7234	-73.999402	2012-05-01 19:49:59
19	40.727290999999994	-73.993778	2012-05-01 22:20:04
19	40.734573	-73.997502	2012-05-03 20:22:14
19	40.726138	-73.994966	2012-05-03 22:12:43
19	40.740333	-73.995976	2012-05-04 19:04:16
19	40.721613	-73.95814200000002	2012-05-04 20:48:44
19	40.721901	-73.957998	2012-05-04 21:12:05
19	40.717054	-73.959285	2012-05-04 22:53:40
19	40.721144	-73.95695699999997	2012-05-05 00:15:06
19	40.721613	-73.95814200000002	2012-05-05 01:08:15
19	40.726068	-74.001571	2012-05-05 19:24:41
19	40.720787	-73.99949699999998	2012-05-08 17:45:41
19	40.718363000000004	-73.990817	2012-05-08 21:14:12
19	40.725291999999996	-73.99214599999998	2012-05-09 09:30:37
19	40.722875	-73.99683399999998	2012-05-10 19:16:48
19	40.721940999999994	-73.996259	2012-05-10 20:44:30
19	40.726805999999996	-73.982776	2012-05-10 22:43:57
19	40.756161	-73.990179	2012-05-11 12:04:49
19	40.722749	-74.00233399999998	2012-05-12 15:29:35
19	40.74212	-73.995452	2012-05-12 18:38:41
19	40.74069	-73.991155	2012-05-12 20:27:49
19	40.717952000000004	-73.98541	2012-05-13 00:14:03
19	40.715029	-73.99210500000002	2012-05-13 01:20:04
19	40.721128	-73.993049	2012-05-13 17:26:51
19	40.725291999999996	-73.99214599999998	2012-05-14 09:05:09
19	40.720068	-73.988313	2012-05-14 20:50:44
19	40.724494	-73.993347	2012-05-15 23:26:32
19	40.726377	-73.98410799999998	2012-05-16 21:31:34
19	40.773879	-73.872371	2012-05-18 16:47:21
19	40.645089	-73.784523	2012-05-25 15:24:26
19	40.726805999999996	-73.982776	2012-05-28 22:44:23
19	40.739619	-74.006403	2012-05-29 20:46:48
19	40.726349	-73.984157	2012-05-29 21:39:04
19	40.725460999999996	-73.984077	2012-06-02 19:51:59
19	40.723667999999996	-73.983637	2012-06-02 20:37:58
